                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.8582,                 1.7334,                 1.7728,                0.61606,                0.58024,                0.60818,                0.30809,                 1.8212,                 1.4518,                 1.6505,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.8589,                 1.7961,                 1.7861,                0.58141,                0.57692,                 0.5964,                0.30638,                 1.7755,                 1.4703,                 1.6265,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.8372,                 1.7383,                  1.767,                0.62534,                0.59306,                0.62278,                0.31758,                 1.7701,                 1.4371,                 1.6161,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.8403,                 1.7036,                 1.7674,                0.57371,                0.57751,                0.59025,                0.30389,                 1.7687,                 1.4894,                 1.6304,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.8217,                 1.7441,                 1.7509,                0.61897,                0.58823,                0.61999,                 0.3279,                 1.7402,                 1.4094,                 1.6076,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.8699,                 1.7252,                 1.7667,                0.63427,                0.57614,                0.60831,                0.32815,                 1.7717,                 1.4439,                   1.61,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.8109,                 1.7517,                 1.7788,                0.63107,                0.59972,                0.63108,                0.32626,                 1.7779,                 1.4549,                 1.6175,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.7796,                 1.6621,                 1.7208,                0.61321,                0.59152,                0.61751,                0.32543,                 1.7756,                 1.4171,                 1.6202,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.8115,                 1.6813,                 1.7626,                0.58607,                0.60196,                0.62381,                0.33247,                 1.7477,                 1.3895,                 1.6111,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.8228,                 1.7036,                   1.76,                 0.6576,                0.59506,                0.65641,                0.35251,                 1.7388,                 1.3798,                 1.6008,             0.00022009,             0.00022009,             0.00022009
